TREGION_SYNTH,diagnosis_region
YEARDIAG_SYNTH,diagnosis_year
STAGE_SYNTH,cancer_stage
AGEDIAG_SYNTH,age_diagnosis_continuous
deathyear_synth,year_death
SURVINT_SYNTH,days_survival
CENSOR_SYNTH,compute_survival
S_DEAD_SYNTH,death
SURG_1_SYNTH,surgery_1
SURG_2_SYNTH,surgery_2
ADIFCLTY_SYNTH,difficulty_daily_living
AGE_IMM_REVISED_group_SYNTH,age_immigration
CITBIR_SYNTH,citizenship
COWD_SYNTH,worker_class
DISABFL_SYNTH,difficulty_daily_activity
DVISMIN_SYNTH,visible_minority
EFCNT_PP_REVISED_SYNTH,family_size
FOL_SYNTH,first_official_language
FPTIM_SYNTH,full_part_time
HCDD_SYNTH,highest_education
IMMDER_SYNTH,immigration_status
KID_GROUP_SYNTH,children
MARST_SYNTH,marital_status
RUINDFG_SYNTH,rural_urban
YRIM_GROUP_SYNTH,immigration_year
D_LICORATIO_DA_BEF_SYNTH,low_income_decile
AGE_SYNTH,age
PREGION_SYNTH,residence_region
SEX_SYNTH,sex
CERVIX_SYNTH,cervical
BREAST_SYNTH,breast
UTERUS_SYNTH,uterine
COLOREC_SYNTH,colorectal
PANC_SYNTH,pancreatic
LUNG_SYNTH,lung
MELANO_SYNTH,melanoma
PROSTATE_SYNTH,prostate
URNBLAD_SYNTH,urinary
KIDNEY_SYNTH,kidney
THYROID_SYNTH,thyroid
NHLYMPH_SYNTH,non_hodgkins
LEUK_SYNTH,leukemia
